الحاشية القديمة (١-٨٠٠)	المقال	الرقم المحلي في الفصل	الرقم العام الجديد	الدرجة
1	001	1	1	أصله صحيح؛ والتفصيل عند أهل السير
2	001	2	2	أصله صحيح؛ والتفصيل عند أهل السير
3	001	1	1	أصله صحيح؛ والتفصيل عند أهل السير
4	001	1	1	أصله صحيح؛ والتفصيل عند أهل السير
5	001	3	3	صحيح
6	001	4	4	صحيح؛ والآية قطعية
7	001	3	3	صحيح
8	001	3	3	صحيح
9	001	3	3	صحيح
10	001	3	3	صحيح
11	001	3	3	صحيح
12	001	3	3	صحيح
13	001	3	3	صحيح
14	002	1	5	قرآن كريم — قطعي
15	002	2	6	صحيح
16	002	3	7	قرآن كريم — قطعي
17	002	4	8	مرسل — تتلقاه كتب السير والمغازي بالقبول
18	002	5	9	قرآن كريم — قطعي
19	002	6	10	قرآن كريم — قطعي
20	002	7	11	قرآن كريم — قطعي
21	002	8	12	صحيح
22	002	8	12	صحيح
23	002	8	12	صحيح
24	002	9	13	صحيح؛ والآية قطعية
25	002	10	14	قرآن كريم — قطعي
26	002	11	15	مرسل — تتلقاه كتب السير والمغازي بالقبول
27	002	12	16	قرآن كريم — قطعي
28	002	13	17	قرآن كريم — قطعي
29	002	14	18	متفق عليه في أصله؛ والتفصيل عند أهل السير
30	002	15	19	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
31	002	16	20	أصله صحيح؛ والتفصيل عند أهل السير
32	003	1	21	مرسل — تتلقاه كتب السير والمغازي بالقبول
33	003	2	22	مرسل — تتلقاه كتب السير والمغازي بالقبول
34	003	3	23	صحيح
35	003	4	24	مرسل — تتلقاه كتب السير والمغازي بالقبول
36	003	5	25	صحيح؛ والآية قطعية
37	003	6	26	قرآن كريم — قطعي
38	003	7	27	قرآن كريم — قطعي
39	003	8	28	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
40	003	9	29	صحيح
41	003	10	30	مرسل — تتلقاه كتب السير والمغازي بالقبول
42	003	11	31	مرسل — تتلقاه كتب السير والمغازي بالقبول
43	004	1	32	مرسل — تتلقاه كتب السير والمغازي بالقبول
44	004	2	33	مرسل — تتلقاه كتب السير والمغازي بالقبول
45	004	2	33	مرسل — تتلقاه كتب السير والمغازي بالقبول
46	004	3	34	مرسل — تتلقاه كتب السير والمغازي بالقبول
47	004	4	35	مرسل — تتلقاه كتب السير والمغازي بالقبول
48	004	2	33	مرسل — تتلقاه كتب السير والمغازي بالقبول
49	004	5	36	مرسل — تتلقاه كتب السير والمغازي بالقبول
50	004	5	36	مرسل — تتلقاه كتب السير والمغازي بالقبول
51	004	6	37	مرسل — تتلقاه كتب السير والمغازي بالقبول
52	004	7	38	مرسل — تتلقاه كتب السير والمغازي بالقبول
53	004	3	34	مرسل — تتلقاه كتب السير والمغازي بالقبول
54	004	8	39	مرسل — تتلقاه كتب السير والمغازي بالقبول
55	004	8	39	مرسل — تتلقاه كتب السير والمغازي بالقبول
56	004	9	40	مرسل — تتلقاه كتب السير والمغازي بالقبول
57	004	10	41	مرسل — تتلقاه كتب السير والمغازي بالقبول
58	004	10	41	مرسل — تتلقاه كتب السير والمغازي بالقبول
59	004	10	41	مرسل — تتلقاه كتب السير والمغازي بالقبول
60	004	5	36	مرسل — تتلقاه كتب السير والمغازي بالقبول
61	005	1	42	مرسل — تتلقاه كتب السير والمغازي بالقبول
62	005	1	42	مرسل — تتلقاه كتب السير والمغازي بالقبول
63	005	2	43	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
64	005	2	43	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
65	005	2	43	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
66	005	2	43	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
67	005	3	44	مرسل — تتلقاه كتب السير والمغازي بالقبول
68	005	3	44	مرسل — تتلقاه كتب السير والمغازي بالقبول
69	005	4	45	مرسل — تتلقاه كتب السير والمغازي بالقبول
70	005	2	43	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
71	005	5	46	مرسل — تتلقاه كتب السير والمغازي بالقبول
72	005	6	47	مرسل — تتلقاه كتب السير والمغازي بالقبول
73	005	7	48	مرسل — تتلقاه كتب السير والمغازي بالقبول
74	005	4	45	مرسل — تتلقاه كتب السير والمغازي بالقبول
75	006	1	49	صحيح
76	006	2	50	صحيح
77	006	2	50	صحيح
78	006	2	50	صحيح
79	006	2	50	صحيح
80	006	2	50	صحيح
81	006	2	50	صحيح
82	006	2	50	صحيح
83	006	3	51	قرآن كريم — قطعي
84	007	1	52	مرسل — تتلقاه كتب السير والمغازي بالقبول
85	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
86	007	3	54	مرسل — تتلقاه كتب السير والمغازي بالقبول
87	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
88	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
89	007	4	55	مرسل — تتلقاه كتب السير والمغازي بالقبول
90	007	3	54	مرسل — تتلقاه كتب السير والمغازي بالقبول
91	007	3	54	مرسل — تتلقاه كتب السير والمغازي بالقبول
92	007	5	56	مرسل — تتلقاه كتب السير والمغازي بالقبول
93	007	6	57	مرسل — تتلقاه كتب السير والمغازي بالقبول
94	007	7	58	مرسل — تتلقاه كتب السير والمغازي بالقبول
95	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
96	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
97	007	3	54	مرسل — تتلقاه كتب السير والمغازي بالقبول
98	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
99	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
100	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
101	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
102	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
103	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
104	007	8	59	مرسل — تتلقاه كتب السير والمغازي بالقبول
105	007	2	53	مرسل — تتلقاه كتب السير والمغازي بالقبول
106	007	9	60	صحيح
107	007	3	54	مرسل — تتلقاه كتب السير والمغازي بالقبول
108	007	10	61	صحيح
109	007	11	62	مرسل — تتلقاه كتب السير والمغازي بالقبول
110	007	12	63	حسن — انظر تخريجه في مظانّه
111	008	1	64	مرسل — تتلقاه كتب السير والمغازي بالقبول
112	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
113	008	3	66	مرسل — تتلقاه كتب السير والمغازي بالقبول
114	008	4	67	مرسل — تتلقاه كتب السير والمغازي بالقبول
115	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
116	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
117	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
118	008	5	68	أصله صحيح؛ والتفصيل عند أهل السير
119	008	6	69	صحيح
120	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
121	008	2	65	مرسل — تتلقاه كتب السير والمغازي بالقبول
122	009	1	70	مرسل — تتلقاه كتب السير والمغازي بالقبول
123	009	2	71	مرسل — تتلقاه كتب السير والمغازي بالقبول
124	009	1	70	مرسل — تتلقاه كتب السير والمغازي بالقبول
125	009	2	71	مرسل — تتلقاه كتب السير والمغازي بالقبول
126	010	1	72	مرسل — تتلقاه كتب السير والمغازي بالقبول
127	010	2	73	مرسل — تتلقاه كتب السير والمغازي بالقبول
128	010	3	74	مرسل — تتلقاه كتب السير والمغازي بالقبول
129	010	4	75	مرسل — تتلقاه كتب السير والمغازي بالقبول
130	010	5	76	صحيح
131	011	1	77	حسن — انظر تخريجه في مظانّه
132	011	1	77	حسن — انظر تخريجه في مظانّه
133	011	1	77	حسن — انظر تخريجه في مظانّه
134	011	1	77	حسن — انظر تخريجه في مظانّه
135	011	1	77	حسن — انظر تخريجه في مظانّه
136	011	1	77	حسن — انظر تخريجه في مظانّه
137	012	1	78	مرسل — تتلقاه كتب السير والمغازي بالقبول
138	012	2	79	مرسل — تتلقاه كتب السير والمغازي بالقبول
139	012	3	80	مرسل — تتلقاه كتب السير والمغازي بالقبول
140	012	4	81	مرسل — تتلقاه كتب السير والمغازي بالقبول
141	012	4	81	مرسل — تتلقاه كتب السير والمغازي بالقبول
142	012	5	82	مرسل — تتلقاه كتب السير والمغازي بالقبول
143	012	4	81	مرسل — تتلقاه كتب السير والمغازي بالقبول
144	013	1	83	مرسل — تتلقاه كتب السير والمغازي بالقبول
145	013	2	84	مرسل — تتلقاه كتب السير والمغازي بالقبول
146	013	2	84	مرسل — تتلقاه كتب السير والمغازي بالقبول
147	013	3	85	مرسل — تتلقاه كتب السير والمغازي بالقبول
148	013	4	86	مرسل — تتلقاه كتب السير والمغازي بالقبول
149	013	5	87	مرسل — تتلقاه كتب السير والمغازي بالقبول
150	013	6	88	مرسل — تتلقاه كتب السير والمغازي بالقبول
151	014	1	89	مرسل — تتلقاه كتب السير والمغازي بالقبول
152	014	2	90	مرسل — تتلقاه كتب السير والمغازي بالقبول
153	014	3	91	مرسل — تتلقاه كتب السير والمغازي بالقبول
154	014	4	92	مرسل — تتلقاه كتب السير والمغازي بالقبول
155	014	5	93	مرسل — تتلقاه كتب السير والمغازي بالقبول
156	014	6	94	مرسل — تتلقاه كتب السير والمغازي بالقبول
157	015	1	95	مرسل — تتلقاه كتب السير والمغازي بالقبول
158	015	2	96	مرسل — تتلقاه كتب السير والمغازي بالقبول
159	015	3	97	متفق عليه
160	015	2	96	مرسل — تتلقاه كتب السير والمغازي بالقبول
161	015	4	98	مرسل — تتلقاه كتب السير والمغازي بالقبول
162	015	5	99	مرسل — تتلقاه كتب السير والمغازي بالقبول
163	016	1	100	مرسل — تتلقاه كتب السير والمغازي بالقبول
164	016	2	101	مرسل — تتلقاه كتب السير والمغازي بالقبول
165	016	2	101	مرسل — تتلقاه كتب السير والمغازي بالقبول
166	016	3	102	متفق عليه
167	016	2	101	مرسل — تتلقاه كتب السير والمغازي بالقبول
168	016	2	101	مرسل — تتلقاه كتب السير والمغازي بالقبول
169	016	4	103	مرسل — تتلقاه كتب السير والمغازي بالقبول
170	017	1	104	مرسل — تتلقاه كتب السير والمغازي بالقبول
171	017	2	105	صحيح
172	017	2	105	صحيح
173	017	3	106	أصله صحيح؛ والتفصيل عند أهل السير
174	017	4	107	متفق عليه
175	017	2	105	صحيح
176	017	5	108	مرسل — تتلقاه كتب السير والمغازي بالقبول
177	017	6	109	متفق عليه
178	018	1	110	متفق عليه
179	018	2	111	مرسل — تتلقاه كتب السير والمغازي بالقبول
180	018	3	112	متفق عليه
181	018	4	113	متفق عليه
182	018	5	114	صحيح
183	019	1	115	متفق عليه
184	019	2	116	متفق عليه
185	019	3	117	قرآن كريم — قطعي
186	019	4	118	صحيح في أصله
187	019	5	119	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
188	019	6	120	مرسل — تتلقاه كتب السير والمغازي بالقبول
189	019	7	121	صحيح
190	019	8	122	متفق عليه
191	020	1	123	متفق عليه في أصله؛ والتفصيل عند أهل السير
192	020	2	124	متفق عليه
